# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:56896 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56910 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56914 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59866 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59840 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59852 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53298 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53312 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53306 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43084 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43068 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43070 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51026 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51058 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51042 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38224 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38216 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38222 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38562 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38558 - "GET /bot/state HTTP/1.1" 200 OK
